"n","tiempo (ns)"
1,14036
2,22081
3,41130
4,59566
5,100827
6,159601
7,238202
8,343927
9,476645
10,634317
11,828746
12,1070480
13,1326138
14,1637984
15,1996404
16,2343422
17,2642468
18,16960725
19,30608353
20,36661933
21,43884092
22,51797556
23,60628030
24,72093068
25,80559780
26,92378238
27,104488051
28,117282495
29,131392758
30,145815137
31,161406048
32,177708063
33,195561736
34,213467763
35,231450616
36,251127347
37,271570236
38,293240610
39,314638356
40,339033020
41,362373973
42,386017394
43,412911339
44,436524115
45,463165553
46,489004014
47,514524391
48,543202217
49,575106574
50,604837939
51,635143170
52,665440554
53,699830019
54,735568412
55,770026453
56,798004137
57,850958869
58,868969963
59,900956827
60,939753087
61,973759461
62,1019496921
63,1054853208
64,1086914124
65,1128180074
66,1175889883
67,1211975229
68,1256798778
69,1296883250
70,1339259595
71,1385261614
72,1421347299
73,1470768494
74,1517764600
75,1575462921
76,1616277848
77,1667393013
78,1707852075
79,1771941355
80,1813617851
81,1865406346
82,1947671819
83,1968481264
84,2032042735
85,2076158909
86,2139697960
87,-2147483648
88,-2147483648
89,-2147483648
90,-2147483648
91,-2147483648
92,-2147483648
93,-2147483648
94,-2147483648
95,-2147483648
96,-2147483648
97,-2147483648
98,-2147483648
99,-2147483648
100,-2147483648
