"k","tiempo (us)"
1,3187
2,5056
3,7203
4,9300
5,11882
6,14145
7,16751
8,19492
9,22226
10,25007
11,27870
12,30752
13,33645
14,36287
15,39097
16,41853
17,44575
18,47158
19,49306
20,51702
21,53967
22,56088
23,57717
24,59661
25,61450
26,63096
27,64547
28,65890
29,66695
30,68134
31,69055
32,56926
33,27549
34,24034
35,20346
36,16420
37,12131
38,6544
39,6587
40,6647
41,6692
42,6741
43,6792
44,6828
45,6853
46,6909
47,6926
48,6971
49,7000
50,6992
51,7000
52,7024
53,7037
54,7073
55,7070
56,7083
57,7100
58,7097
59,7121
60,7126
61,7138
62,7143
63,7159
64,7181
65,7244
66,7230
67,7240
68,7326
69,7228
70,7236
71,7247
72,7266
73,7268
74,7278
75,7295
76,7303
77,7313
78,7325
79,7342
80,7367
81,7372
82,7380
83,7385
84,7394
85,7411
86,7428
87,7429
88,7440
89,7453
90,7470
91,7476
92,7493
93,7495
94,7509
95,7529
96,7536
97,7543
98,7556
99,7584
100,7607
101,7613
102,7619
103,7615
104,7620
105,7632
106,7651
107,7665
108,7666
109,7690
110,7690
111,7700
112,7745
113,7750
114,7744
115,7759
116,7756
117,7765
118,7775
119,7786
120,7844
121,7842
122,7848
123,7828
124,7851
125,7852
126,7868
127,7887
128,7888
129,7902
130,7915
131,7921
132,7940
133,7947
134,7958
135,7985
136,7995
137,8005
138,8007
139,8020
140,8024
141,8038
142,8056
143,8063
144,8076
145,8085
146,8107
147,8107
148,8115
149,8129
150,8135
151,8143
152,8171
153,8175
154,8205
155,8191
156,8197
157,8208
158,8223
159,8246
160,8256
161,8262
162,8269
163,8312
164,8302
165,8307
166,8320
167,8324
168,8336
169,8354
170,8363
171,8378
172,8376
173,8395
174,8405
175,8420
176,8430
177,8436
178,8450
179,8466
180,8473
181,8491
182,8495
183,8514
184,8514
185,8530
186,8537
187,8547
188,8563
189,8566
190,8575
191,8591
192,8614
193,8618
194,8633
195,8652
196,8647
197,8666
198,8676
199,8689
200,8711
