"k","tiempo (us)"
1,407
2,616
3,824
4,756
5,739
6,672
7,561
8,385
9,387
10,394
11,401
12,396
13,397
14,399
15,401
16,403
17,404
18,406
19,409
20,410
21,427
22,413
23,500
24,427
25,430
26,432
27,433
28,435
29,437
30,439
31,439
32,431
33,434
34,434
35,436
36,439
37,439
38,441
39,444
40,445
41,447
42,448
43,451
44,453
45,454
46,456
47,458
48,460
49,462
50,465
51,465
52,468
53,468
54,470
55,488
56,553
57,475
58,479
59,480
60,484
61,484
62,486
63,486
64,489
65,489
66,492
67,494
68,495
69,497
70,498
71,500
72,502
73,504
74,506
75,507
76,510
77,510
78,513
79,523
80,520
81,523
82,526
83,527
84,531
85,530
86,534
87,536
88,538
89,540
90,542
91,544
92,546
93,548
94,550
95,552
96,554
97,557
98,560
99,560
100,563
101,565
102,566
103,570
104,571
105,574
106,575
107,578
108,580
109,581
110,585
111,586
112,588
113,589
114,593
115,595
116,597
117,599
118,600
119,603
120,606
121,608
122,609
123,612
124,614
125,616
126,618
127,620
128,622
129,624
130,625
131,629
132,630
133,633
134,635
135,635
136,638
137,640
138,642
139,645
140,646
141,648
142,650
143,652
144,654
145,657
146,658
147,661
148,664
149,665
150,667
151,671
152,671
153,673
154,678
155,678
156,680
157,686
158,684
159,687
160,688
161,692
162,692
163,695
164,698
165,700
166,701
167,704
168,707
169,708
170,710
171,712
172,714
173,717
174,718
175,721
176,723
177,724
178,727
179,727
180,730
181,731
182,736
183,736
184,738
185,742
186,742
187,745
188,746
189,749
190,750
191,752
192,755
193,758
194,760
195,762
196,764
197,766
198,768
199,770
200,773
