"n","tiempo (us)"
10,300
11,388
12,495
13,667
14,819
15,993
16,1187
17,1412
18,1752
19,2037
20,2512
21,2780
22,3131
23,3657
24,4183
25,4803
26,5227
27,5746
28,10020
29,10957
30,11960
31,13052
32,14154
33,21114
34,22712
35,24471
36,26252
37,28161
38,38520
39,41217
40,43866
41,46901
42,49848
43,64775
44,68604
45,72617
46,76776
47,81227
48,244698
49,261189
50,278785
51,297382
52,317343
53,334017
54,353999
55,375665
56,397280
57,421346
58,441428
59,466812
60,490377
