"n","tiempo (us)"
10,671
11,848
12,1501
13,1833
14,2819
15,3450
16,5820
17,7094
18,8401
19,9901
20,11170
21,13172
22,14823
23,17190
24,19110
25,21969
26,24215
27,27589
28,30304
29,34088
30,37085
31,41672
32,44920
33,50203
34,53955
35,59580
36,63864
37,70384
38,75142
39,82485
40,87676
41,95706
42,101461
43,110455
44,116901
45,126526
46,133643
47,144427
48,152218
49,163930
50,172580
51,185348
52,194601
53,208324
54,218971
55,233639
56,243669
57,260212
58,271209
59,289460
60,301027
