"n","tiempo (us)"
10,1129
11,1448
12,1817
13,2478
14,3001
15,3645
16,4132
17,4794
18,6316
19,6966
20,7840
21,8770
22,9757
23,11884
24,13077
25,14330
26,15673
27,17051
28,20185
29,21844
30,23589
31,25382
32,27286
33,31665
34,33756
35,36020
36,38377
37,40752
38,46552
39,49302
40,52306
41,55033
42,58116
43,65433
44,69135
45,72566
46,76069
47,79682
48,89422
49,93441
50,97650
51,101633
52,106040
53,118041
54,122750
55,127643
56,132572
57,138067
58,152131
59,157958
60,163491
