"n","tiempo (us)"
10,293
11,378
12,482
13,652
14,803
15,975
16,1167
17,1384
18,2470
19,2938
20,3256
21,3700
22,4187
23,6636
24,7119
25,7866
26,8702
27,9604
28,25759
29,28692
30,31851
31,35283
32,39006
33,42438
34,46554
35,50846
36,55550
37,60492
38,65336
39,70800
40,76659
41,83002
42,89408
43,95430
44,102784
45,110163
46,118175
47,126586
48,134162
49,143371
50,152692
51,162857
52,174056
53,183908
54,194793
55,206253
56,218556
57,231534
58,244448
59,257216
60,271346
