"n","tiempo (us)"
10,314
11,395
12,503
13,677
14,846
15,1051
16,1233
17,1498
18,1873
19,2169
20,2468
21,2791
22,3136
23,3695
24,4305
25,4847
26,5237
27,5824
28,6718
29,7407
30,8195
31,8965
32,9804
33,17115
34,18403
35,19700
36,21227
37,22848
38,33826
39,36393
40,38391
41,40681
42,43716
43,59335
44,63354
45,67989
46,71695
47,74909
48,98007
49,101393
50,107345
51,112655
52,118344
53,148512
54,152504
55,160051
56,168705
57,175609
58,541833
59,579220
60,614211
