"n","tiempo (us)"
1,3
2,5
3,11
4,17
5,30
6,49
7,79
8,99
9,99
10,192
11,267
12,276
13,394
14,515
15,558
16,717
17,744
18,1040
19,1223
20,1408
21,1548
22,1754
23,2013
24,2373
25,2684
26,2967
27,3220
28,3907
29,4152
30,4539
31,4976
32,5489
33,5928
34,6586
35,7048
36,7800
37,8181
38,9076
39,9755
40,10441
41,11196
42,12274
43,13051
44,13938
45,14787
46,15103
47,15047
48,17721
49,19266
50,20108
51,21742
52,22687
53,23996
54,24524
55,26521
56,28127
57,29576
58,30899
59,32492
60,34582
