"k","tiempo (us)"
1,731
2,1597
3,2366
4,762
5,1410
6,857
7,4264
8,958
9,1029
10,2424
11,1263
12,2698
13,1120
14,5065
15,1228
16,2371
17,1311
18,1181
19,1267
20,1143
21,1398
22,1219
23,1477
24,1394
25,1137
26,1274
27,1695
28,1220
29,1684
30,1175
31,1288
32,1144
33,1197
34,1303
35,1244
36,1318
37,1572
38,1509
39,1227
40,1309
41,1272
42,1284
43,1452
44,1613
45,1509
46,1295
47,1731
48,1383
49,1254
50,1371
51,1307
52,1544
53,1588
54,1342
55,1403
56,1407
57,1818
58,1730
59,1372
60,1476
61,1389
62,1774
63,1629
64,1628
65,1671
66,1489
67,1538
68,1326
69,1593
70,1610
71,1819
72,1590
73,1401
74,1631
75,1728
76,1527
77,1837
78,1472
79,1727
80,1428
81,1644
82,1745
83,1501
84,1630
85,1880
86,1809
87,1583
88,1602
89,1894
90,1557
91,1654
92,1544
93,1974
94,1958
95,1913
96,2010
97,1595
98,2000
99,1477
100,1994
101,1584
102,1557
103,1561
104,1498
105,1713
106,1601
107,1667
108,1664
109,1891
110,1777
111,1640
112,1530
113,1565
114,1583
115,1699
116,1986
117,2025
118,1506
119,2153
120,1594
121,1708
122,1812
123,1615
124,2006
125,2134
126,1986
127,1780
128,1968
129,1741
130,1905
131,1861
132,1948
133,1789
134,1879
135,2054
136,2054
137,2129
138,1602
139,1761
140,1767
141,1699
142,1959
143,2148
144,2157
145,2203
146,1935
147,2069
148,2164
149,1887
150,2203
151,2044
152,2191
153,1743
154,2200
155,1834
156,1872
157,1999
158,2101
159,1839
160,2105
161,1900
162,1871
163,1938
164,2064
165,1903
166,2305
167,1876
168,2158
169,1999
170,2109
171,2235
172,1942
173,2048
174,2063
175,1947
176,2116
177,1938
178,2040
179,1852
180,1976
181,2136
182,2107
183,2258
184,2323
185,2355
186,2262
187,2024
188,1855
189,2039
190,1941
191,1885
192,2233
193,2265
194,2270
195,1889
196,2265
197,2307
198,2266
199,2000
200,2070
