"n","tiempo (ns)"
1,8760
2,12344
3,25888
4,58566
5,85006
6,137238
7,198976
8,840626
9,1472100
10,2049491
11,2735617
12,3723590
13,4800717
14,5504255
15,6928319
16,7940544
17,9299269
18,10731607
19,12213692
20,13856576
21,15540932
22,17391079
23,19237346
24,21210314
25,23227254
26,25429970
27,27687242
28,30180205
29,32810568
30,35216937
31,38096676
32,40731386
33,43300969
34,46235560
35,49205779
36,52324197
37,55866108
38,59054284
39,62588175
40,65823498
41,69431543
42,73276472
43,76750464
44,80652304
45,84992191
46,89445063
47,93265097
48,97411944
49,101639861
50,106515093
51,111470415
52,114825747
53,119542470
54,125360037
55,129148212
56,135267901
57,140476736
58,146055994
59,149859385
60,156469836
61,160652764
62,167302683
63,172733862
64,180430122
65,183456347
66,189979309
67,195544073
68,203052826
69,208462743
70,214111023
71,221739492
72,228091702
73,234311377
74,240284296
75,247713225
76,255168796
77,260560398
78,267394424
79,275560441
80,282577316
81,289145527
82,298024265
83,304076721
84,312222186
85,320975158
86,327002477
87,336938651
88,342411005
89,352173808
90,361145888
91,369476192
92,376160768
93,384388110
94,392357980
95,400917922
96,414173658
97,420580973
98,428631724
99,436299266
100,445977446
