"k","tiempo (us)"
10,2378
11,2392
12,2392
13,2401
14,2500
15,2477
16,2449
17,2421
18,2435
19,2436
20,2562
21,2487
22,2469
23,2466
24,2476
25,2482
26,2490
27,2498
28,2507
29,2516
30,2522
31,2526
32,2538
33,2544
34,2548
35,2556
36,2562
37,2573
38,2573
39,2587
40,2600
41,2602
42,2604
43,2615
44,2625
45,2629
46,2636
47,2647
48,2653
49,2658
50,2667
51,2673
52,2681
53,2688
54,2695
55,2704
56,2711
57,2709
58,2727
59,2740
60,2740
61,2744
62,2756
63,2760
64,2769
65,2775
66,2786
67,2790
68,2798
69,2802
70,2813
71,2828
72,2827
73,2833
74,2838
75,2854
76,2854
77,2869
78,2869
79,2886
80,2893
81,2886
82,2908
83,2925
84,2917
85,2919
86,2926
87,2935
88,2951
89,2951
90,2962
91,2963
92,2978
93,2979
94,2990
95,2997
96,3004
97,3008
98,3017
99,3026
100,3040
101,3045
102,3044
103,3054
104,3065
105,3070
106,3077
107,3087
108,3091
109,3105
110,3102
111,3116
112,3122
113,3127
114,3132
115,3143
116,3153
117,3158
118,3159
119,3169
120,3183
121,3194
122,3197
123,3202
124,3220
125,3221
126,3264
127,3248
128,3237
129,3246
130,3254
131,3261
132,3265
133,3268
134,3280
135,3295
136,3295
137,3300
138,3308
139,3316
140,3331
141,3333
142,3342
143,3352
144,3357
145,3362
146,3368
147,3377
148,3386
149,3390
150,3401
151,3411
152,3417
153,3423
154,3432
155,3437
156,3449
157,3448
158,3461
159,3467
160,3474
161,3476
162,3484
163,3493
164,3504
165,3509
166,3517
167,3529
168,3549
169,3558
170,3553
171,3560
172,3560
173,3572
174,3574
175,3580
176,3587
177,3596
178,3610
179,3611
180,3622
181,3628
182,3636
183,3637
184,3647
185,3659
186,3660
187,3670
188,3679
189,3681
190,3700
191,3709
192,3707
193,3720
194,3722
195,3723
196,3737
197,3739
198,3756
199,3761
200,3769
201,3767
202,3778
203,3792
204,3801
205,3800
206,3808
207,3811
208,3827
209,3827
210,3841
211,3861
212,3860
213,3869
214,3867
215,3876
216,3883
217,3890
218,3895
219,3911
220,3915
221,3920
222,3926
223,3937
224,3941
225,3948
226,3951
227,3957
228,3970
229,3976
230,3988
231,3990
232,4007
233,4008
234,4010
235,4017
236,4025
237,4036
238,4036
239,4047
240,4064
241,4058
242,4070
243,4081
244,4090
245,4099
246,4104
247,4105
248,4119
249,4128
250,4136
251,4146
252,4157
253,4161
254,4176
255,4177
256,4185
257,4194
258,4196
259,4204
260,4212
261,4213
262,4223
263,4235
264,4237
265,4250
266,4252
267,4257
268,4266
269,4272
270,4276
271,4284
272,4290
273,4297
274,4306
275,4321
276,4327
277,4326
278,4338
279,4349
280,4347
281,4361
282,4371
283,4374
284,4380
285,4390
286,4400
287,4404
288,4416
289,4419
290,4429
291,4434
292,4447
293,4452
294,4455
295,4462
296,4485
297,4497
298,4483
299,4497
300,4501
