"n","tiempo (us)"
1,8
2,13
3,23
4,38
5,61
6,92
7,147
8,225
9,320
10,450
11,600
12,782
13,997
14,1247
15,1537
16,1855
17,2430
18,2676
19,3099
20,3617
21,4258
22,4972
23,5375
24,5982
25,6645
26,7457
27,20975
28,34674
29,100456
30,144994
31,161375
32,182612
33,200946
34,225076
35,247693
36,271256
37,295760
38,321381
39,349540
40,379283
41,411503
42,439932
43,472097
44,510659
45,541287
46,576517
47,617680
48,653354
49,692432
50,735600
51,777017
52,824634
53,864604
54,913906
55,959360
56,998807
57,1052570
58,1099122
59,1147020
60,1201671
61,1254842
62,1313561
63,1363000
64,1415166
65,1471067
66,1528797
67,1589378
68,1647906
69,1710796
70,1768267
71,1832922
72,1907675
73,1964486
74,2028057
75,2092229
