"n","tiempo (us)"
10,778
11,976
12,1196
13,1672
14,1984
15,2335
16,2796
17,3104
18,4051
19,4567
20,5271
21,5733
22,6342
23,7823
24,8605
25,9399
26,10275
27,11165
28,13360
29,14419
30,15596
31,16719
32,17925
33,20979
34,22514
35,23924
36,25417
37,26995
38,31221
39,33013
40,34852
41,36705
42,38629
43,43980
44,46205
45,48443
46,50860
47,53225
48,60023
49,62611
50,65402
51,68202
52,71143
53,79386
54,82691
55,86011
56,89774
57,93364
58,104319
59,107422
60,110308
