"n","tiempo (us)"
10,397
11,504
12,665
13,819
14,2016
15,2380
16,4191
17,4767
18,7175
19,8349
20,11370
21,12809
22,16905
23,18852
24,30664
25,35182
26,38869
27,44201
28,48512
29,54761
30,59585
31,66806
32,72318
33,80675
34,86885
35,96027
36,103013
37,113465
38,121311
39,133137
40,141676
41,154361
42,164105
43,178498
44,188895
45,204742
46,216352
47,233429
48,246021
49,264580
50,278116
51,298885
52,313769
53,336175
54,351805
55,376261
56,393058
57,419438
58,437147
59,465557
60,485935
