"n","tiempo (us)"
10,418
11,516
12,622
13,905
14,1061
15,1237
16,1426
17,1624
18,2186
19,2582
20,2825
21,3060
22,3379
23,4329
24,4749
25,5110
26,5550
27,6019
28,7352
29,7932
30,8514
31,9141
32,9838
33,11623
34,12448
35,13187
36,13995
37,14841
38,17300
39,18279
40,19289
41,20365
42,21445
43,24591
44,25813
45,27086
46,28344
47,29698
48,33610
49,35127
50,36683
51,38222
52,39861
53,44702
54,46476
55,48366
56,50277
57,52220
58,57962
59,60123
60,62210
