"n","tiempo (us)"
10,618
11,842
12,1042
13,1362
14,1626
15,2055
16,2403
17,2958
18,3392
19,4083
20,4613
21,5563
22,6123
23,7130
24,7896
25,9101
26,10002
27,11423
28,12471
29,14120
30,15340
31,17237
32,18569
33,20752
34,22307
35,24742
36,26417
37,29167
38,31097
39,34185
40,36257
41,39633
42,42026
43,45795
44,48356
45,52525
46,55288
47,59786
48,62912
49,67834
50,71190
51,76416
52,80467
53,85891
54,90015
55,96226
56,100911
57,107218
58,112052
59,119379
60,124292
