"n","tiempo (us)"
10,287
11,373
12,477
13,857
14,1046
15,1261
16,1502
17,1767
18,4184
19,4810
20,5620
21,6672
22,7558
23,8504
24,9708
25,11013
26,12452
27,13945
28,15463
29,17205
30,19108
31,21136
32,23322
33,25331
34,27859
35,30599
36,33220
37,36226
38,39042
39,42356
40,45819
41,49478
42,53367
43,56951
44,61181
45,65790
46,70352
47,75343
48,79972
49,85393
50,91003
51,96987
52,103184
53,108403
54,115044
55,122018
56,129805
57,136768
58,143598
59,151913
60,160423
