"n","tiempo (us)"
10,296
11,384
12,488
13,660
14,813
15,983
16,1179
17,1400
18,1735
19,2022
20,2470
21,2692
22,3070
23,5426
24,6188
25,6690
26,7413
27,8176
28,12271
29,13407
30,14608
31,15864
32,17219
33,23768
34,25609
35,27585
36,29754
37,31736
38,91709
39,99358
40,107809
41,116536
42,125429
43,135209
44,144189
45,155503
46,166394
47,178261
48,189704
49,202723
50,216121
51,230171
52,244594
53,257677
54,274245
55,290588
56,307266
57,324911
58,342532
59,360764
60,380160
