"n","tiempo (us)"
10,1652
11,2230
12,2898
13,3978
14,4954
15,5969
16,7246
17,8326
18,10457
19,11976
20,13738
21,15595
22,17692
23,20827
24,23275
25,25440
26,27928
27,30661
28,35591
29,38640
30,41955
31,45287
32,48707
33,55846
34,59827
35,63983
36,68804
37,72698
38,82074
39,87115
40,92297
41,97714
42,103152
43,115060
44,121204
45,127583
46,134081
47,140692
48,155805
49,163014
50,170503
51,178579
52,186646
53,205151
54,213895
55,223214
56,232105
57,241601
58,263073
59,273866
60,284641
