"n","tiempo (ns)"
1,10597
2,15710
3,30313
4,63515
5,93374
6,149784
7,226803
8,330744
9,450687
10,599445
11,767283
12,939470
13,5057478
14,8936984
15,11440557
16,14218000
17,17506638
18,21161668
19,25226572
20,29847076
21,34525208
22,39894922
23,45189163
24,51189927
25,57605094
26,64305163
27,71280633
28,78833610
29,86684719
30,95030531
31,103152192
32,112027667
33,120956231
34,130744205
35,139505870
36,149822606
37,160806051
38,171525518
39,181629378
40,193664054
41,204786336
42,217589598
43,229297745
44,240884421
45,253858003
46,267248156
47,282223879
48,295896319
49,308689574
50,323830660
51,337520014
52,353696377
53,369820493
54,387080786
55,401241752
56,419021904
57,434280785
58,453405474
59,469882986
60,488668276
61,503938995
62,522550809
63,542809948
64,559605422
65,580657304
66,600169739
67,619310047
68,642916005
69,664804739
70,680351952
71,704870938
72,725576401
73,754813052
74,776552036
75,798470007
76,821097457
77,843480886
78,858903945
79,887521998
80,909698501
81,929921057
82,961102020
83,980277313
84,1009954531
85,1034495248
86,1058196520
87,1084613946
88,1115337144
89,1138023016
90,1165776488
91,1192718529
92,1220395524
93,1250144652
94,1280524882
95,1305796276
96,1340120961
97,1364482767
98,1394559676
99,1425468389
100,1460372836
