"k","tiempo (ns)"
1,1047408
2,1881167
3,2904789
4,4072364
5,5631901
6,6967727
7,8848101
8,10327514
9,12057966
10,13835886
11,15580637
12,17563574
13,19256966
14,21103444
15,22682163
16,24262387
17,25734110
18,27373736
19,28570801
20,29777924
21,30905492
22,31978580
23,32789624
24,33715910
25,34191587
26,34867202
27,35645824
28,36154501
29,36490588
30,36947909
31,37004931
32,37498910
33,37787283
34,25153589
35,8494830
36,4298627
37,4396149
38,4442229
39,4509076
40,4540276
41,4526325
42,4633822
43,4661593
44,4656629
45,4698547
46,4773836
47,4798174
48,4842253
49,4799022
50,4861957
51,4849626
52,4849358
53,4878087
54,4884064
55,4956190
56,4883669
57,4913220
58,4889960
59,4986422
60,4985786
61,4969403
62,4957372
63,5020885
64,5024541
65,5053146
66,5004862
67,5017213
68,5064404
69,5055944
70,5022882
71,5062078
72,5107475
73,5069839
74,5103554
75,5111985
76,5132061
77,5126851
78,5110814
79,5132829
80,5150448
81,5198229
82,5162756
83,5220417
84,5213412
85,5220990
86,5210371
87,5240492
88,5262711
89,5248758
90,5240119
91,5286990
92,5277581
93,5289155
94,5305843
95,5292635
96,5295114
97,5398749
98,5376804
99,5364856
100,5376244
101,5384211
102,5442661
103,5394598
104,5438484
105,5431583
106,5447689
107,5444147
108,5467435
109,5464088
110,5473533
111,5489777
112,5494881
113,5466713
114,5521402
115,5503869
116,5578980
117,5547182
118,5552313
119,5564054
120,5600940
121,5642734
122,5578454
123,5613967
124,5618243
125,5639152
126,5661341
127,5659932
128,5626811
129,5660139
130,5620591
131,5629970
132,5644987
133,5652020
134,5692541
135,5717270
136,5695006
137,5735401
138,5795642
139,5772051
140,5749531
141,5786901
142,5745981
143,5828287
144,5770885
145,5775501
146,5800667
147,5853730
148,5841246
149,5856918
150,5899160
151,5862352
152,5904774
153,5900805
154,5901792
155,5959589
156,5937337
157,5930375
158,5902581
159,5957018
160,5975972
161,5972614
162,5955096
163,5973363
164,6036540
165,6011108
166,6018312
167,6070788
168,6058456
169,6064898
170,6047539
171,6166023
172,6116933
173,6091067
174,6129908
175,6146290
176,6113834
177,6173224
178,6119930
179,6124276
180,6148813
181,6163676
182,6224395
183,6249147
184,6172394
185,6225124
186,6176181
187,6205937
188,6304524
189,6216328
190,6241453
191,6243851
192,6237535
193,6277612
194,6250650
195,6328584
196,6293871
197,6281337
198,6342910
199,6323161
200,6328573
