"n","tiempo (us)"
10,387
11,492
12,1220
13,1479
14,2599
15,3068
16,4835
17,5500
18,7766
19,8758
20,14537
21,17101
22,19244
23,22344
24,24885
25,28563
26,31539
27,35880
28,39278
29,44305
30,48245
31,54137
32,58582
33,65178
34,70290
35,77716
36,83253
37,91736
38,98031
39,107469
40,114566
41,125063
42,132660
43,144215
44,152396
45,165453
46,174479
47,188673
48,198798
49,214029
50,224893
51,241936
52,253657
53,272481
54,284522
55,304198
56,318000
57,338748
58,353824
59,376540
60,391766
